soru,cevap
İstihkak davasının amacı nedir ve hangi durumlarda uygulanır?,"İstihkak davasının amacı, haksız olarak elde bulundurulan malın geri alınmasıdır ve bu durum taşınır mallar için geçerlidir."
Tapuya kayıtlı taşınmazlarda istihkak davasının işlevi nasıl değişir?,"Tapuya kayıtlı taşınmazlarda istihkak davasının işlevi, tapu sicilinde asıl malik kayıtlı değilse tapu sicilinin düzeltilmesi davası ile yerine getirilir."
"Gerçek malik tapu sicilinde görünüyorsa, hangi dava açılabilir?","Gerçek malik tapu sicilinde görünüyorsa, istihkak davası yerine 'haksız el atmanın önlenmesi' davası açılabilir."
İstihkak davasının esas fonksiyonu hangi tür mallarda daha belirgindir?,"İstihkak davasının esas fonksiyonu, taşınır mallarda daha belirgindir."
İstihkak davası nedir ve hangi durumlarda açılır?,"İstihkak davası, malikin mülkiyet hakkına dayanarak, malını haksız olarak elinde bulunduran kişiye karşı açtığı bir davadır."
İstihkak davasının niteliği nedir ve hangi tür davalarla ilişkilidir?,"İstihkak davası, malın geri verilmesini amaçladığı için ayni bir dava olup, karar sonucu geri verme istendiğinden bir eda davası olarak da nitelendirilir."
İstihkak davasının zamanaşımı durumu nasıldır?,"İstihkak talebi, ayni bir talep olduğundan zamanaşımına tabi değildir; ancak miras ve haciz sebebiyle açılan istihkak davalarında özel süreler bulunmaktadır."
Mülkiyete dayalı istihkak davası hangi isimle anılmaktadır?,"Mülkiyete dayalı istihkak davası, 'adi istihkak davası' olarak da adlandırılır."
İstihkak davasının başlıca özellikleri nelerdir?,"İstihkak davasının başlıca özellikleri, ayni dava olması, eda davası niteliği taşıması ve genel olarak zamanaşımına tabi olmamasıdır."
İstihkak davasının türleri nelerdir ve bu türler hangi açılardan farklılık gösterir?,"İstihkak davasının türleri haciz sebebiyle istihkak davası, miras sebebiyle istihkak davası ve malın rıza dışı elden çıkması sebebiyle istihkak davasıdır. Bu türler, amaç ve konu bakımından farklılıklar gösterir."
Haciz sebebiyle istihkak davası ne zaman gündeme gelir ve hangi hukuki bağlamda değerlendirilir?,"Haciz sebebiyle istihkak davası, borçlunun mallarının haczi sırasında, borçlu veya üçüncü bir kişi tarafından bu mallar üzerinde alacak hakkından üstün bir hak iddia edilirse gündeme gelir. Bu dava, icra hukukundan kaynaklanır."
Miras sebebiyle istihkak davası ne amaçla açılır ve kimlere karşı yöneltilir?,"Miras sebebiyle istihkak davası, mirasçıların, terekedeki malların haksız zilyetliğini elinde bulunduran üçüncü kişilere karşı açtıkları bir davadır. Bu dava, mirasçıların haklarını korumak amacıyla başvurdukları bir yoldur."
Malın rıza dışı elden çıkması sebebiyle istihkak davası hangi durumlarda açılabilir?,"Malın rıza dışı elden çıkması sebebiyle istihkak davası, mal sahibinin rızası dışında malının zilyetliğini kaybetmesi durumunda, haksız olarak zilyetliği elinde bulunduran kişiye karşı açılabilir."
Malın rıza dışı elden çıkması durumunda hangi tür zilyetlik ilişkilerine karşı istihkak davası açılamaz?,"Malın rıza dışı elden çıkması durumunda, malı kira ilişkisi gibi haklı bir sebebe dayanarak elinde bulunduran kişiye karşı istihkak davası açılamaz."
Haciz nedeniyle istihkak davasının amacı nedir ve hangi durumlarda açılır?,"Haciz nedeniyle istihkak davasının amacı, borçluya ait olmayan bir eşyanın haczedilerek satılmasının ve üçüncü bir kişinin hak kaybına uğramasının önlenmesidir. Bu dava, borçlunun mallarının haczedilmesi sırasında borçlu veya üçüncü bir kişi tarafından bir mal üzerinde üstün bir hak iddia edilmesi durumunda açılır."
"Haciz esnasında istihkak iddiasında bulunulursa, alacaklının itiraz süresi nedir ve bu süre içinde itiraz edilmezse ne olur?","Haciz esnasında istihkak iddiasında bulunulursa, alacaklıya üç gün içinde itiraz etme hakkı tanınır. Bu süre içinde alacaklı tarafından itiraz edilmezse, mal üzerindeki haciz kalkar."
"İcra mahkemesi, istihkak iddiasına ilişkin ne tür bir inceleme yapar?","İcra mahkemesi, istihkak iddiasına ilişkin herhangi bir inceleme yapmaz; sadece icranın devamına veya durdurulmasına karar verir."
"Malın borçlu ile birlikte üçüncü bir kişinin elinde bulunması durumunda, malın durumu nasıl değerlendirilir?","Malın borçlu ile birlikte üçüncü bir kişinin elinde bulunması durumunda, mal borçlunun elinde addolunur ve borçlu malın maliki sayılır. Bu durum, İcra İflas Kanunu’nun 97/a maddesine göre bir karinedir."
Malın üçüncü kişinin elinde bulunması halinde istihkak iddiasında bulunma süresi nedir?,"Malın üçüncü kişinin elinde bulunması halinde, haciz üçüncü kişinin huzurunda yapılmışsa hacizden itibaren 7 gün içinde, haciz üçüncü kişinin yokluğunda yapılmışsa haczin öğrenildiği tarihten itibaren 7 gün içinde istihkak iddiasında bulunulmalıdır."
Üçüncü kişinin elinde bulunan bir mal için istihkak davasını kim açar ve alacaklıya tanınan süre nedir?,"Üçüncü kişinin elinde bulunan bir mal için istihkak davasını alacaklı açar. Alacaklıya, icra mahkemesinde istihkak davası açması için doğrudan yedi günlük bir süre verilir."
İstihkak davasının taşınmazlar üzerindeki işlevi nedir ve hangi durumlarda tapu sicilinin düzeltilmesi davası ile ilişkilidir?,"İstihkak davasının taşınmazlar üzerindeki işlevi, tapu sicilinin düzeltilmesi davası yerine geçmesidir. Türk Medeni Kanunu’nun 992. maddesi gereği, tapuda hak sahibi olarak görünen malik dolaysız zilyet konumundadır ve bu nedenle zilyetliği kaybetmez."
Taşınmazın tamamen işgal edilmesi durumunda malikin zilyetliği nasıl etkilenir?,"Taşınmaz tamamen işgal edilmiş olsa dahi, malik zilyetliği kaybetmez; ancak zilyetliği saldırıya uğrayabilir."
Tapuya kayıtlı olmayan taşınmazlarda istihkak davası açabilmek için hangi koşulun sağlanması gerekmektedir?,"Tapuya kayıtlı olmayan taşınmazlarda istihkak davası açabilmek için, mülkiyet hakkını kanıtlayan kişinin bu hakkı ispat etmesi gerekmektedir."
Tapuya kayıtlı taşınmazlarda hak sahibi görünen kişinin durumu nedir?,"Tapuya kayıtlı taşınmazlarda hak sahibi görünen kişi, taşınmazın maliki sayılır ve bu durum hak karinesi olarak adlandırılır."
Zamanaşımı yoluyla mülkiyet kazanılması durumunda malik ne yapabilir?,"Zamanaşımı yoluyla mülkiyet kazanılması durumunda malik, istihkak davası açabilir."
İstihkak davasının taşınır mallardaki işlevi nedir?,"İstihkak davası, taşınır mallarda zilyetliğini haksız olarak elinde bulunduran kişiye karşı açılabilen bir dava türüdür ve bu nedenle önemli bir işlev görür."
Taşınırın devrinin hukuka aykırı olması durumunda ne olur?,"Taşınırın devri hukuka aykırı bir şekilde yapılmışsa, bu durumda taşınır üzerindeki zilyetlik de hukuka aykırı hale gelir."
Türk Medeni Kanunu'na göre taşınır davası açılabilmesi için hangi maddeye atıfta bulunulmaktadır?,Taşınır davası açılabilmesi için Türk Medeni Kanunu'nun 991. maddesi çerçevesinde hareket edilmektedir.
İstihkak davası ile taşınır davası arasındaki en önemli fark nedir?,"İstihkak davasında ayni hakka, yani mülkiyet hakkına dayanılması gerekirken, taşınır davasında malik olmayan zilyetler de dava açabilir."
İstihkak davasında zamanaşımı süresi var mıdır?,İstihkak davasında herhangi bir zamanaşımı süresi bulunmamaktadır.
